ID,Camion ID,Départ,Arrivée,distance_km,Marchandise,marchandise_code,Poids (kg),Volume (m³),Capacité poids max(kg),Capacité volume max(m³),Type camion,type_camion_detail,vehicule_code,taux_remplissage,densite_ratio,charge_x_distance,route_code,heure_debut,heure_fin,duree_h,jour_semaine,mois,est_weekend,heure_sin,heure_cos,consommation_L,coef_dynamique
35,40,Marrakech,Casablanca,243.0,Métal,2,24629,87.12,26000,90,Semi-remorque,Camionnette,0,0.9680000000000001,282.7020202020202,235.22400000000002,1,7,14,7,0,5,0,0.9659258262890683,-0.25881904510252063,32.0,1.1971567527123081
36,21,Agadir,Rabat,566.0,Électronique,0,1288,11.57,1500,14,Camionnette,Porteur 19T Frigo,2,0.8586666666666667,111.32238547968885,486.00533333333334,0,11,19,8,1,5,0,0.258819045102521,-0.9659258262890682,224.59,1.4171504290762242
37,24,Agadir,Rabat,566.0,Électronique,0,1207,13.14,1500,14,Camionnette,Porteur 19T Frigo,2,0.9385714285714286,91.85692541856925,531.2314285714286,0,9,17,8,2,5,0,0.7071067811865476,-0.7071067811865475,205.28,1.2953054013124685
38,26,Marrakech,Casablanca,243.0,Électronique,0,1414,8.04,1500,14,Camionnette,Porteur 19T Frigo,2,0.9426666666666667,175.87064676616916,229.06799999999998,1,7,11,4,4,5,0,0.9659258262890683,-0.25881904510252063,82.68,1.215167548500882
39,32,Rabat,Agadir,566.0,Électronique,0,1367,13.14,1500,14,Camionnette,Camionnette,0,0.9385714285714286,104.03348554033485,531.2314285714286,0,12,17,5,4,5,0,1.2246467991473532e-16,-1.0,80.66,1.2955348538387408
40,39,Fes,Tanger,317.0,Électronique,0,1220,10.38,1500,14,Camionnette,Camionnette,0,0.8133333333333334,117.53371868978805,257.82666666666665,1,7,11,4,3,4,0,0.9659258262890683,-0.25881904510252063,38.89,1.1152853455692573
41,40,Fes,Casablanca,302.0,Textile,1,6234,47.17,9000,50,Porteur,Camionnette,0,0.9434,132.16027135891457,284.90680000000003,1,7,9,2,4,4,0,0.9659258262890683,-0.25881904510252063,41.57,1.2513546056592415
42,25,Fes,Agadir,716.0,Électronique,0,1450,9.99,1500,14,Camionnette,Porteur 19T Frigo,2,0.9666666666666667,145.14514514514514,692.1333333333333,0,8,16,8,4,5,0,0.8660254037844387,-0.4999999999999998,230.64,1.150438946528332
43,30,Agadir,Rabat,566.0,Métal,2,24691,82.35,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9496538461538462,299.8299939283546,537.5040769230769,0,10,17,7,2,5,0,0.49999999999999994,-0.8660254037844387,189.5,1.1957344775365977
44,38,Casablanca,Tanger,340.0,Métal,2,24119,84.47,26000,90,Semi-remorque,Camionnette,0,0.9385555555555556,285.533325440985,319.1088888888889,1,12,14,2,4,4,0,1.2246467991473532e-16,-1.0,46.72,1.249197860962567
45,40,Casablanca,Tanger,340.0,Électronique,0,1290,10.86,1500,14,Camionnette,Camionnette,0,0.86,118.78453038674034,292.4,1,9,17,8,5,4,1,0.7071067811865476,-0.7071067811865475,47.45,1.268716577540107
46,8,Agadir,Casablanca,508.0,Électronique,0,1475,9.99,1500,14,Camionnette,Semi-remorque,3,0.9833333333333333,147.64764764764763,499.5333333333333,0,7,12,5,6,5,1,0.9659258262890683,-0.25881904510252063,223.79,1.2586614173228345
47,12,Marrakech,Rabat,325.0,Électronique,0,1474,12.41,1500,14,Camionnette,Porteur,1,0.9826666666666667,118.77518130539887,319.3666666666667,1,9,15,6,4,5,0,0.7071067811865476,-0.7071067811865475,88.45,1.2370629370629371
48,19,Casablanca,Agadir,508.0,Électronique,0,1269,9.83,1500,14,Camionnette,Porteur,1,0.846,129.09460834181078,429.768,0,6,10,4,4,5,0,1.0,6.123233995736766e-17,132.95,1.189602720114531
49,48,Fes,Casablanca,302.0,Textile,1,5264,47.97,9000,50,Porteur,Camionnette,0,0.9594,109.73525119866584,289.7388,1,11,13,2,6,4,1,0.258819045102521,-0.9659258262890682,37.53,1.129741119807345
51,41,Agadir,Fes,716.0,Textile,1,7418,38.05,9000,50,Porteur,Semi-remorque,3,0.8242222222222222,194.95400788436268,590.1431111111111,0,10,15,5,3,4,0,0.49999999999999994,-0.8660254037844387,289.18,1.153950518754988
52,41,Fes,Rabat,198.0,Métal,2,25381,81.94,26000,90,Semi-remorque,Semi-remorque,3,0.9761923076923077,309.75103734439836,193.28607692307693,1,8,13,5,3,5,0,0.8660254037844387,-0.4999999999999998,83.83,1.2096681096681097
53,37,Tanger,Agadir,800.0,Textile,1,5033,40.05,9000,50,Porteur,Camionnette,0,0.8009999999999999,125.66791510611736,640.8,0,8,12,4,0,5,0,0.8660254037844387,-0.4999999999999998,112.32,1.2763636363636364
55,28,Fes,Rabat,198.0,Électronique,0,1241,10.96,1500,14,Camionnette,Porteur 19T Frigo,2,0.8273333333333334,113.22992700729927,163.812,1,12,14,2,5,4,1,1.2246467991473532e-16,-1.0,71.7,1.2932900432900434
56,4,Rabat,Tanger,271.0,Textile,1,7069,37.73,9000,50,Porteur,Semi-remorque,3,0.7854444444444444,187.35754041876493,212.85544444444443,1,7,10,3,4,5,0,0.9659258262890683,-0.25881904510252063,101.47,1.0697944122298366
58,19,Casablanca,Marrakech,243.0,Métal,2,24755,89.99,26000,90,Semi-remorque,Porteur,1,0.9998888888888888,275.08612068007557,242.97299999999998,1,9,12,3,1,4,0,0.7071067811865476,-0.7071067811865475,68.12,1.274223718668163
60,18,Casablanca,Fes,302.0,Électronique,0,1433,11.6,1500,14,Camionnette,Porteur,1,0.9553333333333334,123.5344827586207,288.5106666666667,1,7,14,7,3,5,0,0.9659258262890683,-0.25881904510252063,80.41,1.2102649006622517
61,4,Tanger,Fes,317.0,Électronique,0,1443,13.58,1500,14,Camionnette,Semi-remorque,3,0.97,106.25920471281296,307.49,1,7,9,2,3,4,0,0.9659258262890683,-0.25881904510252063,132.26,1.1920684993240198
62,39,Tanger,Rabat,271.0,Textile,1,5850,31.92,9000,50,Porteur,Camionnette,0,0.65,183.2706766917293,176.15,1,9,17,8,6,4,1,0.7071067811865476,-0.7071067811865475,35.93,1.2053002348205302
64,45,Agadir,Marrakech,253.0,Électronique,0,1257,9.82,1500,14,Camionnette,Semi-remorque,3,0.838,128.0040733197556,212.01399999999998,1,6,13,7,1,5,0,1.0,6.123233995736766e-17,113.73,1.2843591191417278
65,47,Fes,Casablanca,302.0,Textile,1,7474,39.0,9000,50,Porteur,Porteur 19T Frigo,2,0.8304444444444444,191.64102564102564,250.79422222222223,1,11,16,5,4,5,0,0.258819045102521,-0.9659258262890682,113.21,1.3388126773888362
66,44,Casablanca,Agadir,508.0,Métal,2,24997,81.95,26000,90,Semi-remorque,Camionnette,0,0.9614230769230769,305.0274557657108,488.40292307692306,0,8,10,2,4,4,0,0.8660254037844387,-0.4999999999999998,65.82,1.177881173944166
67,30,Marrakech,Agadir,253.0,Métal,2,25446,82.63,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9786923076923076,307.95110734600024,247.60915384615384,1,12,16,4,6,5,1,1.2246467991473532e-16,-1.0,90.86,1.2826086956521738
70,13,Marrakech,Fes,533.0,Textile,1,8083,40.32,9000,50,Porteur,Porteur,1,0.8981111111111111,200.47123015873015,478.69322222222223,0,10,16,6,6,4,1,0.49999999999999994,-0.8660254037844387,146.44,1.2488487122633463
71,8,Casablanca,Rabat,87.0,Électronique,0,1376,8.75,1500,14,Camionnette,Semi-remorque,3,0.9173333333333333,157.25714285714287,79.808,3,10,16,6,3,4,0,0.49999999999999994,-0.8660254037844387,39.62,1.3011494252873563
72,31,Agadir,Rabat,566.0,Textile,1,6351,39.32,9000,50,Porteur,Camionnette,0,0.7864,161.5208545269583,445.1024,0,11,19,8,5,4,1,0.258819045102521,-0.9659258262890682,72.36,1.1622229360745262
73,37,Fes,Agadir,716.0,Métal,2,25363,81.37,26000,90,Semi-remorque,Camionnette,0,0.9755,311.69964360329357,698.458,0,9,17,8,0,5,0,0.7071067811865476,-0.7071067811865475,96.88,1.2300660233621126
74,25,Rabat,Agadir,566.0,Métal,2,25353,86.71,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9751153846153846,292.3884211740284,551.9153076923077,0,6,12,6,3,4,0,1.0,6.123233995736766e-17,193.23,1.2192705704189803
75,5,Marrakech,Fes,533.0,Électronique,0,1235,9.89,1500,14,Camionnette,Semi-remorque,3,0.8233333333333334,124.87360970677452,438.8366666666667,0,12,17,5,3,4,0,1.2246467991473532e-16,-1.0,208.8,1.1192709729295096
76,1,Fes,Tanger,317.0,Métal,2,25837,86.84,26000,90,Semi-remorque,Semi-remorque,3,0.9937307692307692,297.52418240442194,315.01265384615385,1,12,19,7,1,4,0,1.2246467991473532e-16,-1.0,145.27,1.3093285263632268
77,1,Tanger,Casablanca,340.0,Textile,1,5972,39.78,9000,50,Porteur,Semi-remorque,3,0.7956,150.1256913021619,270.504,1,6,14,8,4,5,0,1.0,6.123233995736766e-17,154.28,1.296470588235294
78,18,Rabat,Fes,198.0,Métal,2,24383,88.14,26000,90,Semi-remorque,Porteur,1,0.9793333333333334,276.6394372589063,193.90800000000002,1,12,18,6,5,5,1,1.2246467991473532e-16,-1.0,53.99,1.2394398530762167
79,43,Marrakech,Agadir,253.0,Électronique,0,1244,10.97,1500,14,Camionnette,Porteur 19T Frigo,2,0.8293333333333334,113.40018231540564,209.82133333333334,1,10,13,3,4,5,0,0.49999999999999994,-0.8660254037844387,95.21,1.3440146809712026
80,45,Agadir,Casablanca,508.0,Électronique,0,1312,11.97,1500,14,Camionnette,Semi-remorque,3,0.8746666666666667,109.60735171261487,444.3306666666667,0,9,14,5,1,4,0,0.7071067811865476,-0.7071067811865475,221.38,1.2451068616422947
81,42,Agadir,Tanger,800.0,Textile,1,6541,33.49,9000,50,Porteur,Porteur,1,0.7267777777777777,195.31203344281874,581.4222222222222,0,8,11,3,3,4,0,0.8660254037844387,-0.4999999999999998,199.93,1.135965909090909
82,15,Agadir,Fes,716.0,Électronique,0,1211,8.81,1500,14,Camionnette,Porteur,1,0.8073333333333333,137.45743473325766,578.0506666666666,0,11,18,7,4,4,0,0.258819045102521,-0.9659258262890682,193.42,1.227907567293042
84,14,Marrakech,Rabat,325.0,Métal,2,24235,86.28,26000,90,Semi-remorque,Porteur,1,0.9586666666666667,280.88780713954566,311.56666666666666,1,10,13,3,6,4,1,0.49999999999999994,-0.8660254037844387,96.82,1.354125874125874
85,25,Marrakech,Agadir,253.0,Métal,2,24907,86.7,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9633333333333334,287.277970011534,243.72333333333336,1,12,14,2,5,4,1,1.2246467991473532e-16,-1.0,92.1,1.300112930547713
86,6,Casablanca,Rabat,87.0,Métal,2,24144,82.64,26000,90,Semi-remorque,Semi-remorque,3,0.9286153846153846,292.15876089060987,80.78953846153846,3,10,13,3,5,5,1,0.49999999999999994,-0.8660254037844387,41.04,1.347783251231527
87,7,Tanger,Rabat,271.0,Électronique,0,1379,9.23,1500,14,Camionnette,Semi-remorque,3,0.9193333333333333,149.4041170097508,249.13933333333333,1,7,14,7,1,4,0,0.9659258262890683,-0.25881904510252063,99.15,1.0453347390616765
88,37,Marrakech,Casablanca,243.0,Textile,1,6813,40.34,9000,50,Porteur,Camionnette,0,0.8068000000000001,168.8894397620228,196.0524,1,6,10,4,5,5,1,1.0,6.123233995736766e-17,33.71,1.2611298166853722
89,19,Fes,Agadir,716.0,Textile,1,7560,36.44,9000,50,Porteur,Porteur,1,0.84,207.4643249176729,601.4399999999999,0,9,12,3,0,5,0,0.7071067811865476,-0.7071067811865475,191.59,1.2162899949212798
90,3,Marrakech,Fes,533.0,Électronique,0,1407,8.5,1500,14,Camionnette,Semi-remorque,3,0.938,165.52941176470588,499.95399999999995,0,8,16,8,0,4,0,0.8660254037844387,-0.4999999999999998,226.16,1.2123291342803537
91,37,Tanger,Fes,317.0,Textile,1,8011,42.23,9000,50,Porteur,Camionnette,0,0.8901111111111111,189.6992659246981,282.1652222222222,1,12,20,8,6,5,1,1.2246467991473532e-16,-1.0,42.86,1.2291367938055635
92,4,Tanger,Casablanca,340.0,Électronique,0,1333,10.29,1500,14,Camionnette,Semi-remorque,3,0.8886666666666667,129.54324586977648,302.1466666666667,1,12,17,5,4,4,0,1.2246467991473532e-16,-1.0,128.09,1.0763865546218487
93,27,Fes,Marrakech,533.0,Électronique,0,1315,9.6,1500,14,Camionnette,Porteur 19T Frigo,2,0.8766666666666667,136.97916666666669,467.2633333333334,0,12,19,7,4,5,0,1.2246467991473532e-16,-1.0,188.53,1.2632672205842936
94,1,Fes,Rabat,198.0,Électronique,0,1432,12.81,1500,14,Camionnette,Semi-remorque,3,0.9546666666666667,111.78766588602653,189.024,1,9,12,3,3,4,0,0.7071067811865476,-0.7071067811865475,87.68,1.2652236652236655
95,35,Fes,Rabat,198.0,Métal,2,25791,86.02,26000,90,Semi-remorque,Camionnette,0,0.9919615384615385,299.8256219483841,196.40838461538462,1,7,15,8,1,4,0,0.9659258262890683,-0.25881904510252063,29.59,1.3585858585858586
96,49,Tanger,Rabat,271.0,Métal,2,24713,82.38,26000,90,Semi-remorque,Semi-remorque,3,0.9505,299.9878611313426,257.5855,1,6,10,4,6,5,1,1.0,6.123233995736766e-17,113.74,1.1991565629942014
97,5,Fes,Agadir,716.0,Électronique,0,1222,11.05,1500,14,Camionnette,Semi-remorque,3,0.8146666666666667,110.58823529411764,583.3013333333333,0,10,15,5,1,4,0,0.49999999999999994,-0.8660254037844387,287.01,1.145291300877893
98,46,Fes,Casablanca,302.0,Textile,1,5018,49.71,9000,50,Porteur,Porteur,1,0.9942,100.94548380607523,300.2484,1,11,14,3,2,4,0,0.258819045102521,-0.9659258262890682,80.46,1.2110174593618301
99,9,Tanger,Marrakech,574.0,Métal,2,24468,85.59,26000,90,Semi-remorque,Semi-remorque,3,0.9510000000000001,285.87451805117416,545.874,0,6,9,3,3,5,0,1.0,6.123233995736766e-17,262.32,1.3057242409158785
100,35,Tanger,Agadir,800.0,Textile,1,8551,49.93,9000,50,Porteur,Camionnette,0,0.9986,171.2597636691368,798.88,0,11,13,2,6,5,1,0.258819045102521,-0.9659258262890682,112.14,1.274318181818182
101,34,Tanger,Rabat,271.0,Textile,1,5558,46.62,9000,50,Porteur,Camionnette,0,0.9323999999999999,119.21921921921923,252.68039999999996,1,7,12,5,6,4,1,0.9659258262890683,-0.25881904510252063,35.59,1.1938946662193897
102,23,Fes,Tanger,317.0,Textile,1,6106,43.46,9000,50,Porteur,Porteur 19T Frigo,2,0.8692,140.49700874367235,275.5364,1,6,14,8,4,4,0,1.0,6.123233995736766e-17,116.94,1.3174853537629563
103,40,Casablanca,Fes,302.0,Électronique,0,1459,9.65,1500,14,Camionnette,Camionnette,0,0.9726666666666667,151.19170984455957,293.74533333333335,1,12,19,7,6,5,1,1.2246467991473532e-16,-1.0,41.54,1.2504515352197472
104,44,Tanger,Marrakech,574.0,Électronique,0,1394,13.22,1500,14,Camionnette,Camionnette,0,0.9442857142857143,105.44629349470499,542.02,0,8,16,8,5,4,1,0.8660254037844387,-0.4999999999999998,82.58,1.307887234716503
106,30,Tanger,Casablanca,340.0,Électronique,0,1275,11.09,1500,14,Camionnette,Porteur 19T Frigo,2,0.85,114.96844003606853,289.0,1,6,12,6,3,5,0,1.0,6.123233995736766e-17,116.1,1.2195378151260503
108,34,Marrakech,Tanger,574.0,Métal,2,24345,80.68,26000,90,Semi-remorque,Camionnette,0,0.9363461538461538,301.74764501735245,537.4626923076924,0,12,16,4,6,4,1,1.2246467991473532e-16,-1.0,76.39,1.2098511244852708
110,48,Tanger,Rabat,271.0,Métal,2,25853,88.66,26000,90,Semi-remorque,Camionnette,0,0.9943461538461539,291.5971125648545,269.4678076923077,1,10,14,4,6,4,1,0.49999999999999994,-0.8660254037844387,36.34,1.2190540087219055
111,16,Marrakech,Casablanca,243.0,Métal,2,25832,86.55,26000,90,Semi-remorque,Porteur,1,0.9935384615384616,298.4633160023108,241.42984615384617,1,8,13,5,0,4,0,0.8660254037844387,-0.4999999999999998,60.88,1.1387953610175832
112,41,Agadir,Fes,716.0,Électronique,0,1397,10.82,1500,14,Camionnette,Semi-remorque,3,0.9313333333333333,129.1127541589649,666.8346666666666,0,10,15,5,5,5,1,0.49999999999999994,-0.8660254037844387,314.44,1.2547486033519553
115,23,Fes,Tanger,317.0,Métal,2,24206,84.08,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9342222222222222,287.89248334919125,296.1484444444444,1,9,15,6,4,5,0,0.7071067811865476,-0.7071067811865475,116.77,1.315570076611086
116,12,Casablanca,Marrakech,243.0,Électronique,0,1262,12.98,1500,14,Camionnette,Porteur,1,0.9271428571428572,97.22650231124807,225.2957142857143,1,6,13,7,5,4,1,1.0,6.123233995736766e-17,65.87,1.2321361765806211
117,31,Fes,Marrakech,533.0,Métal,2,25307,80.81,26000,90,Semi-remorque,Camionnette,0,0.9733461538461539,313.1666872911768,518.7935,0,8,10,2,1,4,0,0.8660254037844387,-0.4999999999999998,71.87,1.2258229575302746
118,1,Tanger,Fes,317.0,Textile,1,6217,42.47,9000,50,Porteur,Semi-remorque,3,0.8493999999999999,146.38568401224393,269.2598,1,11,18,7,5,5,1,0.258819045102521,-0.9659258262890682,123.09,1.1094186570527265
119,37,Casablanca,Marrakech,243.0,Textile,1,6637,30.44,9000,50,Porteur,Camionnette,0,0.7374444444444445,218.03547963206307,179.199,1,8,13,5,6,5,1,0.8660254037844387,-0.4999999999999998,30.86,1.1545080433969321
120,13,Marrakech,Tanger,574.0,Électronique,0,1470,13.77,1500,14,Camionnette,Porteur,1,0.9835714285714285,106.75381263616558,564.5699999999999,0,10,13,3,1,4,0,0.49999999999999994,-0.8660254037844387,154.1,1.2203040861577445
121,6,Marrakech,Agadir,253.0,Métal,2,24212,87.92,26000,90,Semi-remorque,Semi-remorque,3,0.9768888888888889,275.3867151956324,247.1528888888889,1,12,17,5,2,4,0,1.2246467991473532e-16,-1.0,104.87,1.1843026538678714
122,29,Rabat,Fes,198.0,Électronique,0,1218,8.43,1500,14,Camionnette,Porteur 19T Frigo,2,0.812,144.48398576512457,160.776,1,7,14,7,1,4,0,0.9659258262890683,-0.25881904510252063,69.35,1.250901875901876
123,7,Rabat,Agadir,566.0,Métal,2,25044,82.27,26000,90,Semi-remorque,Semi-remorque,3,0.9632307692307692,304.4123009602528,545.1886153846153,0,10,12,2,5,5,1,0.49999999999999994,-0.8660254037844387,251.76,1.2708732963149925
124,35,Casablanca,Agadir,508.0,Textile,1,7653,44.17,9000,50,Porteur,Camionnette,0,0.8834000000000001,173.26239529092143,448.76720000000006,0,11,17,6,4,5,0,0.258819045102521,-0.9659258262890682,75.94,1.3589835361488904
126,49,Fes,Agadir,716.0,Électronique,0,1204,13.1,1500,14,Camionnette,Semi-remorque,3,0.9357142857142857,91.90839694656489,669.9714285714285,0,12,18,6,0,4,0,1.2246467991473532e-16,-1.0,312.46,1.246847565841979
127,42,Rabat,Fes,198.0,Textile,1,6807,44.23,9000,50,Porteur,Porteur,1,0.8845999999999999,153.90006782726658,175.15079999999998,1,8,10,2,4,5,0,0.8660254037844387,-0.4999999999999998,54.02,1.2401285583103765
128,15,Marrakech,Casablanca,243.0,Métal,2,24121,84.47,26000,90,Semi-remorque,Porteur,1,0.9385555555555556,285.55700248608974,228.06900000000002,1,12,19,7,5,5,1,1.2246467991473532e-16,-1.0,65.71,1.2291432846988402
129,37,Fes,Tanger,317.0,Électronique,0,1368,9.73,1500,14,Camionnette,Camionnette,0,0.912,140.5960945529291,289.104,1,6,8,2,4,5,0,1.0,6.123233995736766e-17,37.89,1.086607398910238
130,21,Agadir,Casablanca,508.0,Métal,2,24395,88.99,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9887777777777778,274.131924935386,502.2991111111111,0,10,14,4,2,4,0,0.49999999999999994,-0.8660254037844387,185.97,1.3074381327334081
131,40,Casablanca,Tanger,340.0,Textile,1,7631,46.78,9000,50,Porteur,Camionnette,0,0.9356,163.12526720820864,318.104,1,11,16,5,4,5,0,0.258819045102521,-0.9659258262890682,46.31,1.238235294117647
